osmid,rainfall_mm
481596967,0.0
538922854,0.0
481606280,0.0
538922858,0.0
459186754,0.0
176296672,0.0
836673666,0.0
74948598,0.0
173166872,0.0
481606278,0.0
736742398,0.0
23125723,0.0
536908867,0.0
536908870,0.0
751804394,0.0
536908872,0.0
778457925,0.0
541137226,0.0
479384753,0.0
74923113,0.0
633274075,0.0
173767837,0.0
383372431,0.0
22920802,0.0
724572180,0.0
632507583,0.0
690155194,0.0
512870203,0.0
22019841,0.0
176296632,0.0
23125724,0.0
783797889,0.0
665461867,0.0
22920800,0.0
633281458,0.0
459186761,0.0
723647802,0.0
74923110,0.0
632166443,0.0
538922856,0.0
535030467,0.0
465063291,0.0
751470825,0.0
35037531,0.0
480923440,0.0
170502602,0.0
174552503,0.0
480890502,0.0
174552515,0.0
174552504,0.0
49891073,0.0
749507440,0.0
587055769,0.0
23126208,0.0
480928875,0.0
480904768,0.0
22040882,0.0
75589920,0.0
536908873,0.0
633150695,0.0
464779332,0.0
481040696,0.0
75589916,0.0
533064427,0.0
22718211,0.0
173166879,0.0
459186757,0.0
22038005,0.0
632522919,0.0
749526507,0.0
22029899,0.0
477933139,0.0
481040694,0.0
23126210,0.0
75589915,0.0
22034474,0.0
479187682,0.0
173166860,0.0
22029904,0.0
173767775,0.0
535030444,0.0
749507437,0.0
661665121,0.0
762796287,0.0
536908865,0.0
480921266,0.0
536908874,0.0
477957456,0.0
751470822,0.0
479291747,0.0
22920826,0.0
633295966,0.0
45070962,0.0
174552500,0.0
22034474,0.0
477957451,0.0
670350816,0.0
654861480,0.0
176296635,0.0
744961928,0.0
74923108,0.0
459186755,0.0
538431810,0.0
74923106,0.0
172032217,0.0
172032215,0.0
587056882,0.0
459186756,0.0
538431800,0.0
533473510,0.0
480921267,0.0
751763275,0.0
32507196,0.0
480921268,0.0
996698201,0.0
464779334,0.0
184650722,0.0
480921270,0.0
174552511,0.0
480746656,0.0
666001761,0.0
75591133,0.0
633150049,0.0
480752341,0.0
173767930,0.0
22040875,0.0
9590470,0.0
174765775,0.0
174552495,0.0
174552518,0.0
765279424,0.0
479332224,0.0
173791998,0.0
22919332,0.0
75589914,0.0
22046321,0.0
173767681,0.0
587056880,0.0
23135318,0.0
173767777,0.0
655161105,0.0
22046326,0.0
75479637,0.0
649808432,0.0
631924257,0.0
766809963,0.0
539341028,0.0
22675493,0.0
649769964,0.0
536908905,0.0
265150837,0.0
632528218,0.0
173166898,0.0
74619422,0.0
223863472,0.0
173166899,0.0
730086715,0.0
755768848,0.0
172112179,0.0
718790025,0.0
665497409,0.0
718862552,0.0
175052979,0.0
74809481,0.0
173166836,0.0
464822194,0.0
174765769,0.0
718800091,0.0
647779526,0.0
655627328,0.0
655627336,0.0
74859237,0.0
22955695,0.0
173767660,0.0
22694131,0.0
173767659,0.0
481652099,0.0
173767832,0.0
152335522,0.0
480683355,0.0
480890253,0.0
22932866,0.0
22964461,0.0
633603941,0.0
